90;-15;4;1
105;-15;4;1
120;-15;4;1
135;-15;4;1
150;-15;4;1
165;-15;4;1
-165;0;4;1
-150;0;4;1
-135;0;4;1
-120;0;4;1
-105;0;4;1
-90;0;4;1
-75;0;4;1
-60;0;4;1
-45;0;4;1
-30;0;4;1
-15;0;4;1
0;0;4;1
15;0;4;1
30;0;4;1
45;0;4;1
60;0;4;1
75;0;4;1
90;0;4;1
105;0;4;1
120;0;4;1
135;0;4;1
150;0;4;1
165;0;4;1
-180;15;4;1
-165;15;4;1
-150;15;4;1
-135;15;4;1
-120;15;4;1
-105;15;4;1
-90;15;4;1
-75;15;4;1
-60;15;4;1
-45;15;4;1
-30;15;4;1
-15;15;4;1
0;15;4;1
15;15;4;1
30;15;4;1
45;15;4;1
60;15;4;1
75;15;4;1
90;15;4;1
105;15;4;1
120;15;4;1
135;15;4;1
150;15;4;1
165;15;4;1
180;15;4;1
-180;30;4;1
-165;30;4;1
-150;30;4;1
-135;30;4;1
-120;30;4;1
-105;30;4;1
-90;30;4;1
-75;30;4;1
-60;30;4;1
-45;30;4;1
-30;30;4;1
-15;30;4;1
0;30;4;1
15;30;4;1
30;30;4;1
45;30;4;1
60;30;4;1
75;30;4;1
90;30;4;1
105;30;4;1
120;30;4;1
135;30;4;1
150;30;4;1
165;30;4;1
180;30;4;1
-180;45;4;1
-165;45;4;1
-150;45;4;1
-135;45;4;1
-120;45;4;1
-105;45;4;1
-90;45;4;1
-75;45;4;1
-60;45;4;1
-45;45;4;1
-30;45;4;1
-15;45;4;1
0;45;4;1
15;45;4;1
30;45;4;1
45;45;4;1
60;45;4;1
75;45;4;1
90;45;4;1
105;45;4;1
120;45;4;1
135;45;4;1
150;45;4;1
165;45;4;1
180;45;4;1
-180;60;4;1
-165;60;4;1
-150;60;4;1
-135;60;4;1
-120;60;4;1
-105;60;4;1
-90;60;4;1
-75;60;4;1
-60;60;4;1
-45;60;4;1
-30;60;4;1
-15;60;4;1
0;60;4;1
15;60;4;1
30;60;4;1
45;60;4;1
60;60;4;1
75;60;4;1
90;60;4;1
105;60;4;1
120;60;4;1
135;60;4;1
150;60;4;1
165;60;4;1
180;60;4;1
-180;75;4;1
-165;75;4;1
-150;75;4;1
-135;75;4;1
-120;75;4;1
-105;75;4;1
-90;75;4;1
-75;75;4;1
-60;75;4;1
-45;75;4;1
-30;75;4;1
-15;75;4;1
0;75;4;1
15;75;4;1
30;75;4;1
45;75;4;1
60;75;4;1
75;75;4;1
90;75;4;1
105;75;4;1
120;75;4;1
135;75;4;1
150;75;4;1
165;75;4;1
180;75;4;1
-180;90;4;1
-165;90;4;1
-150;90;4;1
-135;90;4;1
-120;90;4;1
-105;90;4;1
-90;90;4;1
-75;90;4;1
-60;90;4;1
-45;90;4;1
-30;90;4;1
-15;90;4;1
0;90;4;1
15;90;4;1
30;90;4;1
45;90;4;1
60;90;4;1
75;90;4;1
90;90;4;1
105;90;4;1
120;90;4;1
135;90;4;1
150;90;4;1
165;90;4;1
180;90;4;1
-165;105;4;1
-150;105;4;1
-135;105;4;1
-120;105;4;1
-105;105;4;1
-90;105;4;1
-75;105;4;1
-60;105;4;1
-45;105;4;1
-30;105;4;1
-15;105;4;1
0;105;4;1
15;105;4;1
30;105;4;1
45;105;4;1
60;105;4;1
75;105;4;1
90;105;4;1
105;105;4;1
120;105;4;1
135;105;4;1
150;105;4;1
165;105;4;1
-165;120;4;1
-150;120;4;1
-135;120;4;1
-120;120;4;1
-105;120;4;1
-90;120;4;1
-75;120;4;1
-60;120;4;1
-45;120;4;1
-30;120;4;1
-15;120;4;1
0;120;4;1
15;120;4;1
30;120;4;1
45;120;4;1
60;120;4;1
75;120;4;1
90;120;4;1
105;120;4;1
120;120;4;1
135;120;4;1
150;120;4;1
165;120;4;1
-165;135;4;1
-150;135;4;1
-135;135;4;1
-120;135;4;1
-105;135;4;1
-90;135;4;1
-75;135;4;1
-60;135;4;1
-45;135;4;1
-30;135;4;1
-15;135;4;1
0;135;4;1
15;135;4;1
30;135;4;1
45;135;4;1
60;135;4;1
75;135;4;1
90;135;4;1
105;135;4;1
120;135;4;1
135;135;4;1
150;135;4;1
165;135;4;1
-135;150;4;1
-120;150;4;1
-105;150;4;1
-90;150;4;1
-75;150;4;1
-60;150;4;1
-45;150;4;1
-30;150;4;1
-15;150;4;1
0;150;4;1
15;150;4;1
30;150;4;1
45;150;4;1
60;150;4;1
75;150;4;1
90;150;4;1
105;150;4;1
120;150;4;1
135;150;4;1
-60;165;4;1
-45;165;4;1
-30;165;4;1
-15;165;4;1
0;165;4;1
15;165;4;1
30;165;4;1
45;165;4;1
60;165;4;1
-15;180;4;1
0;180;4;1
15;180;4;1
